NAME YEAR DOY YYYY-MM-DD TYPE
BRMU 1995 086 1995-03-27 SF
BRMU 1997 274 1997-10-01 SF
BRMU 1999 063 1999-03-04 S
BRMU 2001 093 2001-04-03 SF
BRMU 2003 043 2003-02-12 RSFAsDl
BRMU 2010 217 2010-08-05 RSFCYI
BRMU 2011 271 2011-09-28 AsDl
BRST 2003 161 2003-06-10 S
BRST 2006 206 2006-07-25 Asau
BRST 2006 207 2006-07-26 RSF
BRST 2007 109 2007-04-19 RSFAsau
BRST 2008 163 2008-06-11 RSFCYAs
BRST 2011 299 2011-10-26 RSFAsa
BRST 2012 110 2012-04-19 s
BRST 2018 169 2018-06-18 RSF
BRST 2018 332 2018-11-28 RSF
BRUS 1994 114 1994-04-24 S
BRUS 1995 273 1995-09-30 S
BRUS 1997 014 1997-01-14 RSF
BRUS 1999 088 1999-03-29 RSF
BRUS 1999 263 1999-09-20 RSFI
BRUS 2000 027 2000-01-27 RSFI
BRUS 2000 087 2000-03-27 RSF
BRUS 2000 118 2000-04-27 Asi
BRUS 2001 079 2001-03-20 RSFI
BRUX 2008 045 2008-02-14 RSFI
BRUX 2008 079 2008-03-19 As
BRUX 2008 266 2008-09-22 Asa
BRUX 2008 276 2008-10-02 D
BRUX 2008 294 2008-10-20 AsDai
BRUX 2010 179 2010-06-28 RSFY
BRUX 2011 066 2011-03-07 Asui
BRUX 2012 031 2012-01-31 RSFYI
BRUX 2020 056 2020-02-25 RSFY
BRUX 2021 110 2021-04-20 Di
BSHM 2014 164 2014-06-13 RSF
BSHM 2017 193 2017-07-12 RSFI
BSHM 2021 236 2021-08-24 RSF
CAGL 2001 192 2001-07-11 RSFCIAsi
CAGL 2004 061 2004-03-01 RSFI
CAGS 2005 340 2005-12-06 SI
CAGS 2011 192 2011-07-11 SAs
CAGS 2011 229 2011-08-17 RSFY
CAGS 2012 233 2012-08-20 Asi
CAGS 2014 184 2014-07-03 S
CAGS 2016 221 2016-08-08 SFYI
CAGZ 2003 223 2003-08-11 RSF
CAGZ 2004 099 2004-04-08 SF
CAGZ 2004 129 2004-05-08 RSF
CAGZ 2004 208 2004-07-26 RSF
CAGZ 2004 336 2004-12-01 SF
CAGZ 2007 311 2007-11-07 RSF
CARR 1999 189 1999-07-08 RSFC
CAS1 1996 027 1996-01-27 SF
CAS1 2000 036 2000-02-05 RSF
CAS1 2004 298 2004-10-24 RSF
CAS1 2008 337 2008-12-02 RSFY
CAS1 2013 344 2013-12-10 RSFYIAsDui
CAS1 2020 143 2020-05-22 RSFI
CAS1 2021 188 2021-07-07 RSFC
CCJ2 2009 052 2009-02-21 Di
CCJ2 2012 053 2012-02-22 RSFAs
CCJ2 2016 175 2016-06-23 s
CCJ2 2021 339 2021-12-05 RSF
CCJM 1996 075 1996-03-15 SF
CCJM 1996 093 1996-04-02 SF
CCJM 1996 334 1996-11-29 SF
CCJM 1997 205 1997-07-24 SF
CCJM 1997 285 1997-10-12 S
CCJM 1998 029 1998-01-29 S
CCJM 1999 163 1999-06-12 S
CCJM 1999 233 1999-08-21 SF
CCJM 2001 055 2001-02-24 RSFAs
CCJM 2003 054 2003-02-23 RSFC
CEDU 1997 253 1997-09-10 Ss
CEDU 1998 231 1998-08-19 S
CEDU 2000 132 2000-05-11 RSF
CEDU 2005 153 2005-06-02 RSF
CEDU 2006 057 2006-02-26 SF
CEDU 2006 178 2006-06-27 As
CEDU 2006 196 2006-07-15 SAs
CEDU 2007 115 2007-04-25 SF
CEDU 2011 138 2011-05-18 RSFY
CEDU 2016 291 2016-10-17 RSFYD
CEDU 2022 349 2022-12-15 RSFYIAsul
CEDU 2024 357 2024-12-22 Asa
CFAG 1999 080 1999-03-21 SF
CFAG 2006 267 2006-09-24 RSFC
CGGN 2012 149 2012-05-28 As
CGGN 2012 155 2012-06-03 As
CGGN 2015 127 2015-05-07 RSFCY
CHAN 2007 319 2007-11-15 RSFAsi
CHAN 2021 022 2021-01-22 Asi
CHAT 2001 332 2001-11-28 RSFIAsui
CHAT 2002 087 2002-03-28 SF
CHAT 2999 001 2999-01-01 SF
CHPG 2014 155 2014-06-04 SF
CHPG 2020 272 2020-09-28 RS
CHPI 2003 128 2003-05-08 RSFCIAsil
CHPI 2005 033 2005-02-02 SF
CHPI 2005 058 2005-02-27 SF
CHPI 2008 164 2008-06-12 SF
CHPI 2009 040 2009-02-09 S
CHPI 2013 211 2013-07-30 RSFYAsi
CHPI 2017 088 2017-03-29 RSFYI
CHTI 2011 094 2011-04-04 RSFCY
CHTI 2019 304 2019-10-31 RSFAs
CHUM 1998 224 1998-08-12 s
CHUM 2003 260 2003-09-17 Ss
CHUM 2007 149 2007-05-29 RSFC
CHUM 2009 215 2009-08-03 S
CHUR 1993 202 1993-07-21 RSFAsau
CHUR 1996 257 1996-09-13 S
CHUR 1997 352 1997-12-18 RS
CHUR 1998 069 1998-03-10 S
CHUR 1999 053 1999-02-22 RS
CHUR 1999 221 1999-08-09 RSF
CHUR 2000 201 2000-07-19 su
CHUR 2004 269 2004-09-25 s
CHUR 2004 270 2004-09-26 s
CHUR 2005 011 2005-01-11 s
CHUR 2008 070 2008-03-10 RS
CHUR 2008 088 2008-03-28 As
CHUR 2009 090 2009-03-31 RSAs
CHUR 2010 244 2010-09-01 RSFCYAs
CHUR 2011 238 2011-08-26 RSF
CHUR 2024 044 2024-02-13 RSFY
CHUR 2024 297 2024-10-23 As
CIC1 1999 230 1999-08-18 SFI
CKIS 2005 180 2005-06-29 S
CKIS 2011 277 2011-10-04 RSFYAsDu
CKIS 2017 339 2017-12-05 Asui
CKIS 2023 349 2023-12-15 RSFI
CNMR 2008 036 2008-02-05 RSFAsDail
CNMR 2009 252 2009-09-09 SFI
CNMR 2019 203 2019-07-22 RSFYIs
CNMR 2022 164 2022-06-13 As
COCO 1998 247 1998-09-04 SF
COCO 1999 344 1999-12-10 RSF
COCO 2001 166 2001-06-15 RSF
COCO 2001 217 2001-08-05 RSF
COCO 2004 176 2004-06-24 RSFDi
COCO 2006 229 2006-08-17 SF
COCO 2009 106 2009-04-16 RSFY
COCO 2011 297 2011-10-24 RSF
COCO 2015 166 2015-06-15 RSFY
COCO 2019 326 2019-11-22 RSFY
COCO 2020 070 2020-03-10 RSFY
COCO 2021 237 2021-08-25 Asui
CONZ 2004 237 2004-08-24 SF
CONZ 2005 137 2005-05-17 AsDul
CONZ 2006 173 2006-06-22 R
CONZ 2008 018 2008-01-18 Fs
CONZ 2009 120 2009-04-30 RSFIs
CONZ 2009 269 2009-09-26 s
CONZ 2011 200 2011-07-19 RSFAsD
CORD 2005 062 2005-03-03 RSFAs
CORD 2010 285 2010-10-12 RSFYAsu
CORD 2022 213 2022-08-01 RSFYI
COYQ 2004 033 2004-02-02 S
COYQ 2006 138 2006-05-18 RSF
COYQ 2007 158 2007-06-07 SF
COYQ 2011 097 2011-04-07 SFI
COYQ 2017 152 2017-06-01 RSFC
COYQ 2025 315 2025-11-11 SFY
CPVG 2014 162 2014-06-11 SFY
CPVG 2017 264 2017-09-21 S
CPVG 2021 263 2021-09-20 RS
CPXF 2002 177 2002-06-26 CRSFI
CPXF 2004 048 2004-02-17 S
CPXF 2004 104 2004-04-13 RSFCIAsD
CPXF 2007 204 2007-07-23 RSF
CPXF 2007 273 2007-09-30 FAs
CPXF 2017 348 2017-12-14 RSFIAsDau
CPXF 2021 057 2021-02-26 AsDa
CRAO 2004 215 2004-08-02 SF
CRAO 2008 147 2008-05-26 RSFAsl
CRO1 1995 286 1995-10-13 SFsui
CRO1 1999 273 1999-09-30 RSF
CRO1 2000 319 2000-11-14 RSF
CRO1 2001 145 2001-05-25 SFI
CRO1 2005 019 2005-01-19 SAsi
CRO1 2006 053 2006-02-22 RSF
CRO1 2010 188 2010-07-07 SI
CRO1 2011 091 2011-04-01 Di
CRO1 2011 175 2011-06-24 D
CRO1 2015 267 2015-09-24 AsDul
CRO1 2018 061 2018-03-02 RSFCY
CRO1 2021 071 2021-03-12 RSF
DAEJ 1999 229 1999-08-17 SF
DAEJ 2005 121 2005-05-01 RSFC
DAEJ 2008 084 2008-03-24 SFC
DAEJ 2010 257 2010-09-14 As
DAEJ 2010 326 2010-11-22 Di
DAEJ 2011 012 2011-01-12 Dl
DAEJ 2014 309 2014-11-05 RSFY
DAKA 2004 013 2004-01-13 RSF
DAKA 2004 224 2004-08-11 RSF
DAKA 2004 335 2004-11-30 As
DAKA 2005 319 2005-11-15 RSF
DAKA 2006 074 2006-03-15 RSF
DAKA 2007 023 2007-01-23 RSFCAsu
DARW 1996 183 1996-07-01 SFD
DARW 1999 120 1999-04-30 SF
DARW 1999 329 1999-11-25 RSFI
DARW 2001 102 2001-04-12 SFI
DARW 2001 292 2001-10-19 Asui
DARW 2001 300 2001-10-27 RSF
DARW 2001 348 2001-12-14 Asi
DARW 2003 076 2003-03-17 RSFI
DARW 2003 094 2003-04-04 Asu
DARW 2004 196 2004-07-14 RSFI
DARW 2004 198 2004-07-16 RSFI
DARW 2006 352 2006-12-18 SFI
DARW 2008 055 2008-02-24 RSFY
DARW 2008 133 2008-05-12 S
DARW 2016 294 2016-10-20 RSFY
DARW 2017 186 2017-07-05 Asul
DARW 2021 167 2021-06-16 SFCI
DAV1 1996 035 1996-02-04 SF
DAV1 1999 234 1999-08-22 RSFI
DAV1 1999 303 1999-10-30 RSFIs
DAV1 2000 039 2000-02-08 RSF
DAV1 2000 077 2000-03-17 RSF
DAV1 2000 334 2000-11-29 RSF
DAV1 2000 351 2000-12-16 RSF
DAV1 2005 004 2005-01-04 RSFI
DAV1 2007 213 2007-08-01 Asul
DAV1 2009 006 2009-01-06 RSFYI
DAV1 2011 052 2011-02-21 AsDuil
DAV1 2017 054 2017-02-23 RSFY
DAVR 2005 112 2005-04-22 RSF
DAVR 2007 213 2007-08-01 Asul
DGAR 1996 197 1996-07-15 s
DGAR 1996 267 1996-09-23 s
DGAR 1996 276 1996-10-02 S
DGAR 1999 306 1999-11-02 RSFI
DGAR 2002 019 2002-01-19 S
DGAR 2004 139 2004-05-18 RSFCIAs
DGAR 2007 331 2007-11-27 SFC
DGAR 2017 087 2017-03-28 RSFCY
DGAR 2018 298 2018-10-25 RSFY
DGAV 2012 019 2012-01-19 RSF
DGAV 2014 166 2014-06-15 SCI
DGAV 2017 087 2017-03-28 RSF
DRAG 2000 164 2000-06-12 S
DRAG 2000 174 2000-06-22 S
DRAG 2002 330 2002-11-26 RSF
DRAG 2002 357 2002-12-23 RSF
DRAG 2007 059 2007-02-28 RSF
DRAG 2007 238 2007-08-26 RSF
DRAG 2008 333 2008-11-28 RSF
DRAG 2015 062 2015-03-03 S
DRAG 2017 037 2017-02-06 RSF
DRAO 1994 041 1994-02-10 RSFAsDau
DRAO 1995 102 1995-04-12 SFsu
DRAO 1998 155 1998-06-04 S
DRAO 1999 280 1999-10-07 RSFC
DRAO 2005 241 2005-08-29 SF
DRAO 2009 138 2009-05-18 SF
DRAO 2010 243 2010-08-31 RSF
DRAO 2012 084 2012-03-24 RSFY
DRAO 2013 070 2013-03-11 AsDne
DRAO 2014 174 2014-06-23 RSF
DRAO 2016 160 2016-06-08 RSFYI
DRAO 2018 105 2018-04-15 RSF
DRAO 2018 110 2018-04-20 RSF
DRAO 2019 151 2019-05-31 RSF
DRAO 2021 245 2021-09-02 As
DUBO 1997 008 1997-01-08 D
DUBO 1999 230 1999-08-18 SIAsD
DUBO 2000 286 2000-10-12 S
DUBO 2001 023 2001-01-23 SF
DUBO 2004 331 2004-11-26 RSF
DUBO 2009 238 2009-08-26 RSFCYAsD
DUBO 2014 057 2014-02-26 RSF
DUBO 2017 053 2017-02-22 RSFY
EIL1 2004 043 2004-02-12 S
EIL1 2004 156 2004-06-04 S
EIL1 2004 174 2004-06-22 S
EISL 1997 213 1997-08-01 SFs
EISL 2003 038 2003-02-07 RSFCAs
EISL 2004 045 2004-02-14 RSFCAsl
EPRT 1999 266 1999-09-23 s
EPRT 2004 124 2004-05-03 RSF
EPRT 2004 141 2004-05-20 SI
EPRT 2004 192 2004-07-10 D
EPRT 2008 131 2008-05-10 RSFCY
EPRT 2014 177 2014-06-26 RSFYAsD
EPRT 2017 033 2017-02-02 RSF
EPRT 2018 052 2018-02-21 AsDa
EPRT 2018 100 2018-04-10 RSF
