NAME YEAR DOY YYYY-MM-DD TYPE
CCJ2 2012 053 2012-02-22 RSFAs
CCJ2 2021 339 2021-12-05 RSF
CCJM 2001 055 2001-02-24 RSFAs
CCJM 2003 054 2003-02-23 RSFC
CEDU 2000 132 2000-05-11 RSF
CEDU 2005 153 2005-06-02 RSF
CEDU 2006 178 2006-06-27 As
CEDU 2006 196 2006-07-15 SAs
CEDU 2011 138 2011-05-18 RSFY
CEDU 2016 291 2016-10-17 RSFYAD
CEDU 2022 349 2022-12-15 RSFYIAsul
CEDU 2024 357 2024-12-22 Asa
CFAG 2006 267 2006-09-24 RSFC
CGGN 2012 149 2012-05-28 As
CGGN 2012 155 2012-06-03 As
CGGN 2015 127 2015-05-07 RSFCY
CHAN 2007 319 2007-11-15 RSFAsi
CHAN 2021 022 2021-01-22 Asi
CHAT 2001 332 2001-11-28 RSFIAsui
CHPG 2020 272 2020-09-28 RS
CHPI 2003 128 2003-05-08 RSFCIAsil
CHPI 2013 211 2013-07-30 RSFYAsi
CHPI 2017 088 2017-03-29 RSFYI
CHTI 2011 094 2011-04-04 RSFCY
CHTI 2019 304 2019-10-31 RSFAs
CHUM 2007 149 2007-05-29 RSFC
CHUR 1993 202 1993-07-21 RSFAsau
CHUR 1997 352 1997-12-18 RS
CHUR 1999 053 1999-02-22 RS
CHUR 1999 221 1999-08-09 RSF
CHUR 2008 070 2008-03-10 RS
CHUR 2008 088 2008-03-28 As
CHUR 2009 090 2009-03-31 RSAs
CHUR 2010 244 2010-09-01 RSFCYAs
CHUR 2011 238 2011-08-26 RSF
CHUR 2024 044 2024-02-13 RSFY
CHUR 2024 297 2024-10-23 As
CKIS 2011 277 2011-10-04 RSFYAsDu
CKIS 2017 339 2017-12-05 Asui
CKIS 2023 349 2023-12-15 RSFI
CNMR 2008 036 2008-02-05 RSFAsDail
CNMR 2019 203 2019-07-22 RSFYIs
CNMR 2022 164 2022-06-13 As
COCO 1999 344 1999-12-10 RSF
COCO 2001 166 2001-06-15 RSF
COCO 2001 217 2001-08-05 RSF
COCO 2004 176 2004-06-24 RSFADi
COCO 2009 106 2009-04-16 RSFY
COCO 2011 297 2011-10-24 RSF
COCO 2015 166 2015-06-15 RSFY
COCO 2019 326 2019-11-22 RSFY
COCO 2020 070 2020-03-10 RSFY
COCO 2021 237 2021-08-25 Asui
CONZ 2005 137 2005-05-17 AsDul
CONZ 2006 173 2006-06-22 R
CONZ 2009 120 2009-04-30 RSFIs
CONZ 2011 200 2011-07-19 RSFAsD
CORD 2005 062 2005-03-03 RSFAs
CORD 2010 285 2010-10-12 RSFYAsu
CORD 2022 213 2022-08-01 RSFYI
COYQ 2006 138 2006-05-18 RSF
COYQ 2017 152 2017-06-01 RSFC
CPVG 2021 263 2021-09-20 RS
CPXF 2002 177 2002-06-26 CRSFI
CPXF 2004 104 2004-04-13 RSFCIAsD
CPXF 2007 204 2007-07-23 RSF
CPXF 2007 273 2007-09-30 FAs
CPXF 2017 348 2017-12-14 RSFIAsDau
CPXF 2021 057 2021-02-26 AsDa
CRAO 2008 147 2008-05-26 RSFAsl
CRO1 1999 273 1999-09-30 RSF
CRO1 2000 319 2000-11-14 RSF
CRO1 2005 019 2005-01-19 SAsi
CRO1 2006 053 2006-02-22 RSF
CRO1 2011 091 2011-04-01 ADi
CRO1 2011 175 2011-06-24 AD
CRO1 2015 267 2015-09-24 AsDul
CRO1 2018 061 2018-03-02 RSFCY
CRO1 2021 071 2021-03-12 RSF
DAEJ 2005 121 2005-05-01 RSFC
DAEJ 2010 257 2010-09-14 As
DAEJ 2010 326 2010-11-22 ADi
DAEJ 2011 012 2011-01-12 ADl
DAEJ 2014 309 2014-11-05 RSFY
DAKA 2004 013 2004-01-13 RSF
DAKA 2004 224 2004-08-11 RSF
DAKA 2004 335 2004-11-30 As
DAKA 2005 319 2005-11-15 RSF
DAKA 2006 074 2006-03-15 RSF
DAKA 2007 023 2007-01-23 RSFCAsu
DARW 1996 183 1996-07-01 SFAD
DARW 1999 329 1999-11-25 RSFI
DARW 2001 292 2001-10-19 Asui
DARW 2001 300 2001-10-27 RSF
DARW 2001 348 2001-12-14 Asi
DARW 2003 076 2003-03-17 RSFI
DARW 2003 094 2003-04-04 Asu
DARW 2004 196 2004-07-14 RSFI
DARW 2004 198 2004-07-16 RSFI
DARW 2008 055 2008-02-24 RSFY
DARW 2016 294 2016-10-20 RSFY
DARW 2017 186 2017-07-05 Asul
DAV1 1999 234 1999-08-22 RSFI
DAV1 1999 303 1999-10-30 RSFIs
DAV1 2000 039 2000-02-08 RSF
DAV1 2000 077 2000-03-17 RSF
DAV1 2000 334 2000-11-29 RSF
DAV1 2000 351 2000-12-16 RSF
DAV1 2005 004 2005-01-04 RSFI
DAV1 2007 213 2007-08-01 Asul
DAV1 2009 006 2009-01-06 RSFYI
DAV1 2011 052 2011-02-21 AsDuil
DAV1 2017 054 2017-02-23 RSFY
DAVR 2005 112 2005-04-22 RSF
DAVR 2007 213 2007-08-01 Asul
DGAR 1999 306 1999-11-02 RSFI
DGAR 2004 139 2004-05-18 RSFCIAs
DGAR 2017 087 2017-03-28 RSFCY
DGAR 2018 298 2018-10-25 RSFY
DGAV 2012 019 2012-01-19 RSF
DGAV 2017 087 2017-03-28 RSF
DRAG 2002 330 2002-11-26 RSF
DRAG 2002 357 2002-12-23 RSF
DRAG 2007 059 2007-02-28 RSF
DRAG 2007 238 2007-08-26 RSF
DRAG 2008 333 2008-11-28 RSF
DRAG 2017 037 2017-02-06 RSF
DRAO 1994 041 1994-02-10 RSFAsDau
DRAO 1999 280 1999-10-07 RSFC
DRAO 2010 243 2010-08-31 RSF
DRAO 2012 084 2012-03-24 RSFY
DRAO 2013 070 2013-03-11 AsDne
DRAO 2014 174 2014-06-23 RSF
DRAO 2016 160 2016-06-08 RSFYI
