name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
GODE 2000-12-20 2015-11-10    0.82863163    0.01992068  808
GODE 2015-11-11 2025-12-30    1.18974156    0.00961911 3498
GODZ 1999-05-05 2015-11-10    0.69869110    0.00873590 4687
GODZ 2015-11-11 2024-02-01    1.14077785    0.01126320 2749
GOL2 1999-03-10 2025-12-30    0.39512110    0.00855142 3310
GOLD 1994-01-06 1998-03-23    0.51493133    0.01604397 1169
GOLD 1998-03-24 1999-06-07    0.02854373    0.03152965  308
GOLD 1999-06-09 2025-12-30    0.38510481    0.00593903 8445
GOPE 1995-09-17 2000-09-08   -0.93681601    0.00963347 1706
GOPE 2000-09-09 2001-12-06   -0.12727016    0.01963514  419
GOPE 2001-12-07 2025-12-30    0.45643685    0.00432941 8386
GOUG 1998-01-16 2006-12-07    0.00442256    0.01745509 2010
GOUG 2007-08-05 2008-09-17    1.32841346    0.06336859  167
GRAS 1995-02-23 2001-05-10   -0.02618253    0.01273955 1812
GRAS 2001-05-11 2012-02-12    0.16039451    0.00956080 3497
GRAS 2012-02-13 2016-07-27   -0.12317181    0.01407206 1594
GRAS 2016-07-28 2025-12-30    0.21159127    0.00974928 3286
GRAZ 1994-01-06 1996-04-20    0.57697414    0.01699342  748
GRAZ 1996-04-21 2009-03-28    0.30614129    0.00724532 4370
GRAZ 2009-03-29 2016-07-24    0.15386275    0.00954657 2538
GRAZ 2016-07-26 2025-12-30    0.42132995    0.00836089 3280
GUAM 1995-02-03 1999-06-02   -0.76488474    0.04134040  854
GUAM 1999-06-04 2002-10-26   -1.47470849    0.03884291  962
GUAM 2002-10-27 2010-11-15   -0.85283336    0.02314533 2761
GUAM 2010-11-16 2017-09-26   -0.36583413    0.02548819 2244
GUAM 2017-09-27 2020-05-06    0.54482331    0.04847365  652
GUAM 2020-05-07 2025-12-30   -0.33015927    0.03003662 1628
GUAO 2002-06-16 2008-05-27   -0.41385043    0.00883403 2001
GUAO 2008-05-28 2011-01-02   -0.94571176    0.01786159  602
GUAO 2011-01-03 2013-12-30   -0.49520613    0.01228281  994
GUAT 2000-07-29 2001-03-05   -1.09655481    0.06768234  209
GUAT 2001-03-06 2019-12-24   -0.35208729    0.01312340 5885
GUAT 2019-12-25 2025-02-12   -0.54712471    0.03038958 1060
GUUG 2003-08-29 2017-09-26   -0.15854231    0.01596576 4661
GUUG 2017-09-27 2024-09-20    0.50612456    0.02251473 2340
HARB 2000-08-12 2004-09-22    0.45037866    0.01636832 1273
HARB 2004-09-23 2005-12-26    0.89656685    0.02983011  441
HARB 2005-12-27 2009-05-06    0.37118715    0.01862956 1131
HARB 2009-05-07 2022-03-10    0.01587110    0.00879351 4422
HARB 2022-03-11 2025-12-30   -0.18003914    0.01600176 1305
HERS 1994-01-22 1999-03-10    0.48027909    0.02768358  370
HERS 1999-03-11 2001-05-11    1.42896639    0.01928656  739
HERS 2001-05-12 2010-08-28    0.45159306    0.00943243 3147
HERS 2010-08-29 2016-07-23   -0.11729895    0.01148347 2122
HERS 2016-07-24 2025-12-30    0.19394870    0.00920433 3365
HERT 2003-03-20 2016-09-05    0.32323666    0.00768756 4725
HERT 2016-09-06 2025-12-30    0.52277918    0.00922335 3289
HLFX 2002-12-21 2017-09-10    0.01706776    0.00710900 4963
HLFX 2017-09-11 2025-12-30    0.18376726    0.00943160 2816
HNLC 1997-06-20 2001-06-23   -0.54963063    0.03132595 1316
HNLC 2001-06-24 2018-02-27   -0.01152329    0.01728600 4326
