name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
KIR0 2016-01-26 2016-03-08  +0.1778  +0.3073  +0.0038  +0.0125  5841   595  -9.9309  3.055e-23     1
KIRU 2004-01-11 2004-02-17  +0.7430  +0.7973  +0.0066  +0.0199  2328   284  -2.5884  9.641e-03     1
KIRU 2005-01-06 2005-02-24  +0.7973  +0.9112  +0.0199  +0.0131   284   624  -4.7852  1.708e-06     1
KIRU 2007-01-10 2007-02-01  +0.9112  +0.8091  +0.0131  +0.0208   624   276  +4.1544  3.261e-05     1
KIRU 2007-11-12 2007-12-14  +0.8091  +0.8597  +0.0208  +0.0074   276  1777  -2.2906  2.199e-02     0
KOKB 1996-05-19 1996-07-28  -1.4060  -1.8912  +0.0797  +0.0224   103  1438  +5.8623  4.565e-09     1
KOSG 2014-11-14 2014-11-25  +0.2740       NA  +0.0291       NA   225    NA       NA         NA    NA
KOU1 2005-01-14 2005-01-27  +0.4602  -0.0653  +0.0541  +0.0824   564   215  +5.3298  9.834e-08     1
KOU1 2005-09-28 2005-09-30  -0.0653  +0.2729  +0.0824  +0.0709   215   321  -3.1100  1.871e-03     1
LAMA 2006-01-04 2006-02-08  -0.1718  -0.2545  +0.0105  +0.0188  1812   613  +3.8368  1.247e-04     1
MAC1 2009-03-26 2009-04-19  +0.7960  +0.7841  +0.0127  +0.0146  1209   900  +0.6172  5.371e-01     0
MAD2 2000-11-07 2001-01-26  -0.6579  -0.1581  +0.0368  +0.0201   290   965 -11.9146  9.933e-33     1
MADR 2004-10-25 2004-11-07  -0.0108  +0.1660  +0.0457  +0.0259   211   436  -3.3683  7.562e-04     1
MADR 2024-02-07 2024-02-29  +0.1660  +0.0714  +0.0259  +0.0223   436   666  +2.7685  5.631e-03     1
MALD 2000-07-16 2000-07-22  -0.6174  +0.0829  +0.0667  +0.1039   311   118  -5.6733  1.401e-08     1
MALI 2006-02-05 2006-02-24  -0.2097  -0.5472  +0.0292  +0.0465  2210   886  +6.1524  7.633e-10     1
MAT1 2021-10-30 2021-12-11  +0.4532  +0.3440  +0.0132  +0.0165  2341  1434  +5.1673  2.375e-07     1
MATE 1996-04-24 1996-06-23  -0.4509  -0.2946  +0.0285  +0.0153   440  1815  -4.8292  1.371e-06     1
MAUI 2000-10-25 2000-11-16  +0.2873  +0.3933  +0.0158  +0.0060   556  3676  -6.2721  3.562e-10     1
MAW1 1999-07-24 1999-08-05  +0.4134  +0.7835  +0.0169  +0.0045   123  1898 -21.1832  1.365e-99     1
MDO1 1994-03-15 1994-03-15  +0.3473  +0.6243  +0.0492  +0.0105    60  2542  -5.5083  3.623e-08     1
MDO1 2002-10-21 2002-11-10  +0.8041  +0.9042  +0.0468  +0.0137   200  1428  -2.0540  3.997e-02     0
MDVJ 2005-09-20 2005-10-13  +1.2614  +0.7442  +0.0516  +0.0120   137  1055  +9.7662  1.572e-22     1
MDVO 1999-02-23 1999-03-22  +0.3883  +0.3125  +0.0143  +0.0156   867   856  +3.5795  3.442e-04     1
MDVO 2001-12-09 2002-02-13  +0.3125  +0.2646  +0.0156  +0.0371   856   193  +1.1885  2.346e-01     0
MDVO 2002-10-16 2003-01-15  +0.2646       NA  +0.0371       NA   193    NA       NA         NA    NA
MOBJ 2018-03-11 2018-03-19  +0.6313  +0.4201  +0.0102  +0.0133  1843  1179 +12.6194  1.651e-36     1
MOBJ 2021-12-18 2022-02-17  +0.4201  +0.3398  +0.0133  +0.0451  1179    87  +1.7059  8.803e-02     0
MOBK 2018-02-03 2018-03-19  +0.5742  +0.3850  +0.0117  +0.0148  1436   975 +10.0436  9.803e-24     1
MRO1 2024-06-12 2024-06-17  -0.2600  -0.4453  +0.0184  +0.0253  1090   542  +5.9231  3.160e-09     1
NAUR 2018-03-19 2018-04-13  +0.2100  +0.8187  +0.0652  +0.0511   365   636  -7.3502  1.979e-13     1
NAUR 2024-07-04 2024-07-09  -0.2140  -0.7537  +0.0691  +0.0575   337   512  +6.0047  1.917e-09     1
NAUR 2025-12-05 2025-12-30  -0.7537       NA  +0.0575       NA   512    NA       NA         NA    NA
NURK 2009-11-30 2010-01-08  -0.6014  -0.8968  +0.0500  +0.0614   339   214  +3.7284  1.927e-04     1
NVSK 2006-02-11 2006-03-11  -0.5918  +0.0061  +0.0101  +0.0138  1462   904 -35.0373 6.093e-269     1
NVSK 2010-11-30 2011-01-29  -0.3992  -0.7779  +0.0168  +0.0190   628   397 +14.9252  2.261e-50     1
OHI2 2005-08-18 2005-11-11  +0.5536  +0.7421  +0.0114  +0.0221  1045   277  -7.5839  3.352e-14     1
OS0G 2003-02-09 2003-03-29  +0.1900  +0.3632  +0.0226  +0.0489   387   118  -3.2132  1.313e-03     1
PENC 1997-01-03 1997-01-12  +0.6349  +0.7051  +0.0369  +0.0155   231   961  -1.7510  7.994e-02     0
PETP 2005-01-27 2005-02-01  +0.5643  +0.5614  +0.0149  +0.0104   436   996  +0.1566  8.756e-01     0
PETP 2008-02-15 2008-03-05  +0.5614  +0.3337  +0.0104  +0.0125   996   721 +13.9606  2.712e-44     1
POVE 2008-07-02 2008-07-19       NA  +0.0204       NA  +0.0237    NA  2288       NA         NA    NA
POVE 2024-09-01 2024-09-28  -0.8201  -0.4510  +0.0309  +0.0552  1352   428  -5.8367  5.325e-09     1
PRE1 2001-08-16 2001-09-04  +0.3705  +0.1477  +0.0261  +0.0249   690   718  +6.1692  6.862e-10     1
PVEP 1999-06-12 1999-06-30  -0.0803  -0.0625  +0.0348  +0.0418   501   367  -0.3272  7.435e-01     0
QUI2 2007-01-29 2007-02-08  -0.9725  -0.4250  +0.0938  +0.0257    80   867  -5.6310  1.792e-08     1
QUI2 2009-07-11 2009-08-01  -0.4250       NA  +0.0257       NA   867    NA       NA         NA    NA
QUIN 2001-11-13 2002-01-10  -1.2857  -0.5952  +0.0235  +0.0179   641   965 -23.3758 7.532e-121     1
QUIN 2004-12-31 2005-01-14  -0.5952  -0.5014  +0.0179  +0.0123   965  2119  -4.3233  1.537e-05     1
RABT 2005-04-26 2005-04-27  +0.5325  -0.2884  +0.0203  +0.0713  1592   188 +11.0756  1.648e-28     1
REYK 2000-07-08 2000-08-23  +0.8582  +0.5885  +0.0129  +0.0130   926   881 +14.7109  5.484e-49     1
RIGA 2022-12-04 2022-12-21  +0.3015  +0.2017  +0.0212  +0.0137   443  1078  +3.9515  7.766e-05     1
SCH2 2001-12-02 2002-01-11  +0.0610  -0.6420  +0.0073  +0.0206  1400   101 +32.2005 1.739e-227     1
SCH2 2009-12-21 2010-02-17  +0.0603  +0.1819  +0.0056  +0.0101  2494   741 -10.5444  5.389e-26     1
SEY1 1995-10-21 1997-02-03       NA  -0.9402       NA  +0.0370    NA  1426       NA         NA    NA
SIMO 2007-07-19 2007-07-28  +0.0998  +0.1285  +0.0504  +0.0424   261   282  -0.4346  6.638e-01     0
SIMO 2008-11-14 2008-12-30  +0.1285       NA  +0.0424       NA   282    NA       NA         NA    NA
SOLA 2004-03-07 2004-04-02       NA  +1.1357       NA  +0.0640    NA    83       NA         NA    NA
SOLA 2004-07-20 2004-07-24  +1.1357  +0.6737  +0.0640  +0.0678    83    92  +4.9571  7.154e-07     1
SOLA 2007-05-31 2007-06-04  +0.6737  +0.3799  +0.0678  +0.0315    92   298  +3.9301  8.490e-05     1
SUNM 2000-08-03 2001-05-16  +0.7682  +2.1191  +0.0450  +0.0530   383   293 -19.4283  4.450e-84     1
SUNM 2003-03-20 2003-05-12  +1.1800  +1.3396  +0.0666  +0.0244   167  1332  -2.2513  2.437e-02     0
SYDN 2014-08-15 2014-08-26  -0.3270  -0.3335  +0.0116  +0.0493  3566   240  +0.1273  8.987e-01     0
SYOG 2000-12-31 2001-02-02  +1.7848  +1.6080  +0.0181  +0.0132   138   250  +7.8970  2.857e-15     1
SYOG 2001-11-26 2002-01-15  +1.6080  +1.7106  +0.0132  +0.0108   250   438  -6.0174  1.772e-09     1
THU1 1998-03-25 1998-04-10  -0.2623  -0.3393  +0.0094  +0.0099   845   851  +5.6236  1.870e-08     1
THU1 2002-02-24 2002-05-03  -0.0528  -0.4010  +0.0158  +0.0314   207   110  +9.9109  3.732e-23     1
TIXI 2008-11-21 2008-12-17  -0.1284  -0.0407  +0.0237  +0.0090   162   571  -3.4651  5.301e-04     1
TSEA 2006-12-19 2007-01-23  +0.1947  +0.1340  +0.0087  +0.0060  1790  3618  +5.7625  8.286e-09     1
TXES 2015-08-30 2015-09-11  -0.2702  -0.0725  +0.0316  +0.0200   499  1388  -5.2855  1.254e-07     1
ULAB 2023-12-17 2024-02-02  +0.0359  +0.0972  +0.0113  +0.0095   345   566  -4.1495  3.332e-05     1
UNSA 2007-07-04 2007-07-07  +2.9539  +2.5217  +0.0430  +0.0406  1009  1124  +7.3128  2.615e-13     1
URUM 2020-11-30 2021-01-02  +0.8771  +0.2050  +0.0381  +0.0177   229   650 +15.9978  1.323e-57     1
URUS 2016-07-27 2016-08-08  +0.1793  +0.2989  +0.0232  +0.0294   802   560  -3.1926  1.410e-03     1
USUD 1998-01-13 1998-02-04  -0.2101  +0.3704  +0.0190  +0.0208   795   662 -20.5801  4.138e-94     1
USUD 2000-02-16 2000-04-23  +0.3704  +1.8301  +0.0208  +0.0779   662   146 -18.1007  3.147e-73     1
USUD 2002-12-30 2003-02-15  -0.0125  -0.1565  +0.0202  +0.0088   736  3935  +6.5246  6.819e-11     1
VALD 2006-01-04 2006-02-06  -0.3158  -0.0705  +0.0130  +0.0112   930  1228 -14.2658  3.576e-46     1
VALD 2017-01-18 2017-01-24  +0.0923  +0.1981  +0.0110  +0.0070  1237  2922  -8.1147  4.869e-16     1
VENE 1997-01-31 1997-02-23  -4.7782  -5.6804  +0.0506  +0.0541   163   192 +12.1813  3.909e-34     1
VILL 1994-11-24 1994-12-21       NA  -0.1208       NA  +0.0093    NA  3939       NA         NA    NA
VTSP 2008-04-17 2008-04-23  +0.2303  +0.0390  +0.0325  +0.0100   126  2277  +5.6241  1.865e-08     1
WES2 2018-10-06 2018-11-20  -0.4662  -0.3357  +0.0105  +0.0215  2890   575  -5.4501  5.033e-08     1
WHIT 2001-11-22 2002-01-05  +0.1813  +0.3268  +0.0120  +0.0051   463  2374 -11.1860  4.774e-29     1
WILL 2008-12-03 2009-01-24  +0.1509  +0.2086  +0.0096  +0.0069  1563  2836  -4.9142  8.913e-07     1
WTZL 2016-06-18 2016-07-26       NA  +0.7261       NA  +0.0155    NA   667       NA         NA    NA
WUHN 1998-12-19 1998-12-23  +2.5596  +1.6903  +0.0749  +0.0445   151   326  +9.9712  2.037e-23     1
XMIS 2022-08-14 2022-08-16  -0.3732  -0.7188  +0.0265  +0.0332  1812  1092  +8.1442  3.818e-16     1
YAKT 2017-01-29 2017-03-20  -0.7103  -0.4859  +0.0132  +0.0124   339   333 -12.3954  2.768e-35     1
YAKT 2018-03-20 2018-04-01  -0.4859  -0.1271  +0.0124  +0.0240   333   222 -13.2924  2.563e-40     1
YAKZ 2000-10-02 2000-10-03  +0.4607  +0.4365  +0.0325  +0.0124   153   159  +0.6940  4.877e-01     0
YAKZ 2001-03-12 2001-03-30  +0.4365  +0.2138  +0.0124  +0.0424   159    70  +5.0446  4.546e-07     1
YSSK 2016-01-16 2016-03-08  +0.2212  +0.2211  +0.0066  +0.0060  1689  2040  +0.0127  9.898e-01     0
ZWE2 2005-09-20 2005-10-13  +1.0568  +0.5421  +0.0450  +0.0109   160  1301 +11.1294  9.021e-29     1
