name __tbegin__ ___tend___ _____mean____ ______se_____ _np_
ANKR 2002-12-29 2003-06-14   -0.11735888    0.03974415  114
ANKR 2003-06-15 2003-12-12   -0.74420716    0.04604847  165
ANKR 2003-12-13 2006-10-27   -0.20918551    0.01934233  644
ANKR 2006-10-28 2007-11-25    0.03979701    0.03380918  198
ANKR 2007-11-26 2010-03-18   -0.39089153    0.01919201  658
ANKR 2010-03-19 2010-03-27    0.67686817    0.14088345    9
ANKR 2010-03-28 2014-04-19   -0.41719466    0.01312950 1349
ANKR 2014-04-20 2014-04-25   -1.81315737    0.21083133    6
ANKR 2014-04-26 2015-06-01   -0.36196445    0.02597749  381
ANKR 2015-06-02 2015-08-08    0.43610434    0.09575610   66
ANKR 2015-08-10 2017-09-17   -0.38690055    0.01886204  693
ANKR 2017-09-18 2019-09-02   -0.87214769    0.01912800  645
ANKR 2019-09-04 2019-09-14   -2.30825119    0.19758270   11
ANKR 2019-09-15 2020-11-04   -1.30577208    0.02674380  379
ANKR 2020-11-05 2021-11-01   -1.03415380    0.02878254  220
ANKR 2021-11-02 2021-11-03   -3.19608148    0.31993057    2
ANKR 2021-11-09 2021-12-23   -1.18786040    0.11076665   13
ANTC 2002-07-02 2002-08-05    0.60500921    0.11565769   34
ANTC 2002-08-06 2002-11-24   -0.28911134    0.07386535   94
ANTC 2002-11-25 2003-10-15    0.69306747    0.05044270  251
ANTC 2003-10-16 2004-05-04    0.15362290    0.07828419  147
ANTC 2004-05-05 2004-05-20    1.80907176    0.19069765   16
ANTC 2004-05-23 2007-09-28    0.30639252    0.02405207 1060
ANTC 2007-09-29 2007-10-02    2.95558562    0.36637823    4
ANTC 2007-10-03 2008-01-23    0.39225247    0.08502238  109
ANTC 2008-01-24 2008-03-14    1.57901834    0.15431514   51
ANTC 2008-03-15 2008-11-30    0.20223285    0.04556825  260
ANTC 2008-12-01 2008-12-12    2.73898736    0.29086931   11
ANTC 2008-12-13 2009-04-27    0.41919868    0.08765006  133
ANTC 2009-04-28 2009-05-03    2.45808607    0.32870474    6
ANTC 2009-05-04 2009-06-05   -0.30116864    0.12879308   33
ANTC 2009-06-06 2009-06-11    1.97147590    0.26174734    6
ANTC 2009-06-12 2010-04-03    0.08462557    0.04734865  282
ANTC 2010-04-04 2010-04-10    2.47747342    0.32333897    7
ANTC 2010-04-11 2011-07-20    0.04300881    0.03628120  459
ANTC 2011-07-21 2011-09-12   -0.64178182    0.08879956   54
ANTC 2011-09-13 2012-07-29    0.15091750    0.04634770  318
ANTC 2012-07-30 2012-08-08    1.45311388    0.20040605   10
ANTC 2012-08-09 2013-04-23   -0.07482971    0.05460581  237
ANTC 2013-04-24 2013-04-26    3.77895193    0.49390843    3
ANTC 2013-04-27 2013-09-07   -0.35656933    0.06103947  121
ANTC 2013-09-08 2013-09-11   -2.91903008    0.35804457    4
ANTC 2013-09-12 2021-02-03    0.13093774    0.03177859  586
ANTC 2021-02-06 2021-02-07    5.28122555    0.81746787    2
ANTC 2021-02-08 2021-07-11    0.54039359    0.06791885  141
ANTC 2021-07-12 2021-07-24    2.14247323    0.25878530    7
ANTC 2021-07-25 2025-12-30    0.26620846    0.02448848 1063
AOML 1997-11-21 1998-06-04   -0.66364077    0.07951160  178
AOML 1998-06-05 1998-06-09   -3.67419920    0.50801225    5
AOML 1998-06-10 1998-08-15    0.40519602    0.16535992   67
AOML 1998-08-16 1999-07-21   -1.06394505    0.06583256  312
AOML 1999-07-22 1999-10-03    0.38334575    0.18013788   69
AOML 1999-10-04 2000-06-27   -1.20477610    0.07707837  215
AOML 2000-06-28 2004-04-03   -0.62672171    0.03311280 1288
AREG 2017-01-30 2017-02-01   -0.62874933    0.51569842    3
AREG 2017-02-03 2017-02-21    3.36921623    0.24573885   14
AREG 2017-02-22 2017-05-23    1.39837967    0.09511599   91
AREG 2017-05-24 2017-05-28    5.39702770    0.33916319    5
AREG 2017-05-29 2017-08-31    2.14960435    0.06353349   95
AREG 2017-09-01 2018-04-04    1.39156899    0.06140141  206
AREG 2018-04-05 2018-04-23    4.37485665    0.23970837   19
AREG 2018-04-24 2018-10-03    1.73131248    0.05515110  149
AREG 2018-10-04 2018-10-20    3.90271424    0.24033844   13
AREG 2018-10-21 2019-11-15    1.46541252    0.03997993  386
AREG 2019-11-16 2019-11-23    4.34536238    0.30319176    8
AREG 2019-11-24 2019-12-22    1.79229447    0.17396583   29
AREG 2019-12-23 2019-12-25    5.41076317    0.55833730    3
AREG 2019-12-26 2020-04-17    0.55526947    0.08779540  113
AREG 2020-04-18 2020-05-06    3.43815268    0.21157454   19
