name     tbegin       tend     mu_L     mu_R     se_L     se_R  np_L  np_R    tstat       pval signif
MOBJ 2021-12-18 2022-06-03  +0.5531       NA  +0.0081       NA  3030    NA       NA         NA    NA
MOBK 2018-02-03 2018-03-19  +0.5742  +0.3850  +0.0117  +0.0148  1436   975 +10.0436  9.803e-24     1
MORP 2014-06-23 2014-07-08  -0.4182  -0.3126  +0.0352  +0.0193   159   650  -2.6295  8.552e-03     1
MORP 2024-05-06 2024-07-28  -0.0460  +0.1271  +0.0097  +0.0245  2627   435  -6.5751  4.863e-11     1
MRO1 2024-06-12 2024-06-17  -0.2600  -0.4453  +0.0184  +0.0253  1090   542  +5.9231  3.160e-09     1
MSKU 2002-06-17 2002-08-23  +0.7123  +0.3208  +0.0833  +0.0586   319   646  +3.8448  1.207e-04     1
MSKU 2006-08-02 2006-12-09  +0.3208       NA  +0.0586       NA   646    NA       NA         NA    NA
NAIN 2017-02-26 2017-03-04  +0.3236  +0.2772  +0.0057  +0.0116  3204   757  +3.5816  3.416e-04     1
NOTO 1996-11-05 1997-01-26  +0.8194  +0.4936  +0.0930  +0.0566   169   267  +2.9936  2.757e-03     1
NOTO 1998-02-28 1998-03-28  -0.0695  +0.1483  +0.0674  +0.0313   123   833  -2.9322  3.365e-03     1
NRC1 1998-01-11 1998-02-28  +0.3880  +0.2015  +0.0185  +0.0110   679  1686  +8.6872  3.714e-18     1
NSSP 1998-01-06 1998-03-16       NA  +0.2494       NA  +0.0502    NA   211       NA         NA    NA
NSSP 2004-03-03 2004-06-18  -0.3612  -0.3288  +0.0183  +0.0291   625   283  -0.9420  3.462e-01     0
NSSP 2007-08-31 2007-10-03  -0.1888  +0.0828  +0.0280  +0.0254   344   413  -7.1776  7.094e-13     1
NSSP 2009-06-30 2009-09-07  -0.1480  -0.0091  +0.0323  +0.0285   199   286  -3.2274  1.249e-03     1
NURK 2009-11-30 2010-01-08  -0.6070  -0.9122  +0.0500  +0.0614   339   214  +3.8532  1.166e-04     1
NURK 2011-06-07 2011-06-10  +0.0109  +0.0833  +0.0657  +0.0357   225   668  -0.9692  3.325e-01     0
NVSK 2010-11-30 2011-01-29  -0.4603  -1.2261  +0.0071  +0.0091  3093  1938 +66.2177  0.000e+00     1
OHIG 2001-10-05 2002-02-19  +0.6196       NA  +0.0290       NA   275    NA       NA         NA    NA
OS0G 1998-10-24 1999-02-02       NA  +0.2791       NA  +0.0118    NA  1500       NA         NA    NA
PADO 2016-05-30 2016-09-21  +0.4882  +0.7612  +0.0215  +0.0117   853  3010 -11.1395  8.054e-29     1
PETP 2005-01-27 2005-02-01  +0.5643  +0.5614  +0.0149  +0.0104   436   996  +0.1566  8.756e-01     0
PETP 2008-02-15 2008-03-05  +0.5614  +0.3337  +0.0104  +0.0125   996   721 +13.9606  2.712e-44     1
PFA2 2016-11-23 2017-02-18  -0.4173  -0.4044  +0.0167  +0.0315   960   291  -0.3614  7.178e-01     0
POL2 1997-08-06 1997-10-30  +0.6853  +0.6761  +0.0283  +0.0235   578   682  +0.2519  8.011e-01     0
POL2 1999-12-15 2000-02-29  +0.6761  +1.3767  +0.0235  +0.0693   682   170  -9.5753  1.016e-21     1
PRDS 2019-03-19 2019-03-22  +0.0414  +0.0358  +0.0125  +0.0103   743  1254  +0.3446  7.304e-01     0
PRDS 2022-10-03 2022-10-09  +0.0358  +0.1764  +0.0103  +0.0212  1254   191  -5.9644  2.456e-09     1
PRDS 2023-04-21 2023-08-10  +0.1764  +0.1296  +0.0212  +0.0208   191   257  +1.5731  1.157e-01     0
PRE1 2001-08-16 2001-09-04  +0.3705  +0.1477  +0.0261  +0.0249   690   718  +6.1692  6.862e-10     1
PTVL 2017-02-14 2017-07-17       NA  -0.6387       NA  +0.0443    NA   845       NA         NA    NA
PTVL 2022-05-18 2023-01-12  -0.6387  -0.6185  +0.0443  +0.0404   845  1016  -0.3365  7.365e-01     0
PVEP 1998-12-26 1999-01-14  -0.1921  -0.0225  +0.0438  +0.0623   334   147  -2.2270  2.595e-02     0
PVEP 1999-06-12 1999-06-30  -0.0225  -0.0274  +0.0623  +0.0429   147   331  +0.0649  9.482e-01     0
PVEP 2000-06-20 2000-08-05  -0.0274       NA  +0.0429       NA   331    NA       NA         NA    NA
RABT 2005-04-26 2005-04-27  +0.5325  -0.2884  +0.0203  +0.0713  1592   188 +11.0756  1.648e-28     1
REYZ 2000-06-20 2000-08-23  +0.2724  +0.3656  +0.0199  +0.0132   381   881  -3.8949  9.824e-05     1
RIGA 2022-12-04 2022-12-21  +0.3013  +0.2002  +0.0212  +0.0137   443  1078  +4.0083  6.116e-05     1
RIO2 2016-03-11 2016-07-07  +0.3821  +0.3496  +0.0135  +0.0256  1144   313  +1.1216  2.620e-01     0
RIOP 1999-02-12 2000-12-20  +0.3968  -0.4900  +0.0519  +0.0102   192  5310 +16.7658  4.343e-63     1
ROSA 2008-10-28 2008-11-11  +0.2237  +0.5834  +0.0530  +0.0306   455  1530  -5.8807  4.086e-09     1
SCH2 2001-11-12 2002-03-17  +0.0720  +0.0058  +0.0074  +0.0031  1388  7796  +8.2706  1.333e-16     1
SEY1 1995-10-21 1997-02-03       NA  -0.9402       NA  +0.0370    NA  1426       NA         NA    NA
SIO3 1994-01-06 1994-05-08       NA  +0.8113       NA  +0.0176    NA  1777       NA         NA    NA
STR1 1998-06-16 1998-10-21       NA  +2.0055       NA  +0.0553    NA   162       NA         NA    NA
SUNM 2000-08-03 2001-05-16  +0.7682  +2.1191  +0.0450  +0.0530   383   293 -19.4283  4.450e-84     1
SUNM 2003-03-20 2003-05-12  +1.1800  +1.3396  +0.0666  +0.0244   167  1332  -2.2513  2.437e-02     1
TEHN 2017-01-30 2017-12-28       NA  -0.9685       NA  +0.0517    NA   123       NA         NA    NA
TEHN 2018-07-20 2019-11-12  -0.9685  -0.7482  +0.0517  +0.0338   123   314  -3.5685  3.590e-04     1
TEHN 2021-12-06 2022-03-25  -0.7482       NA  +0.0338       NA   314    NA       NA         NA    NA
THU2 2025-01-10 2025-03-13  +0.0514  +0.2234  +0.0045  +0.0148  2421   271 -11.1019  1.228e-28     1
TOUL 1998-12-13 1998-12-14  +0.2448  +0.1168  +0.0277  +0.0268   593   578  +3.3208  8.976e-04     1
TROM 2002-05-25 2002-05-30  +0.2541  +0.2147  +0.0103  +0.0076  1307  2381  +3.0817  2.058e-03     1
TSEA 2006-12-19 2007-01-23  +0.1945  +0.1803  +0.0087  +0.0048  1790  5596  +1.4306  1.525e-01     0
ULAB 2020-11-24 2021-03-10  +0.2044  +0.1228  +0.0061  +0.0075  1270   923  +8.4827  2.200e-17     1
ULAB 2023-12-17 2024-02-02  +0.1228  +0.1036  +0.0075  +0.0095   923   566  +1.5899  1.119e-01     0
URUS 2016-03-01 2016-08-08  +0.1723  +0.2930  +0.0255  +0.0294   692   560  -3.1029  1.917e-03     1
USUD 1998-01-13 1998-02-04  -0.2089  +0.3397  +0.0190  +0.0214   795   643 -19.1220  1.657e-81     1
USUD 2014-12-21 2015-02-20  -0.1133  +0.0762  +0.0080  +0.0155  4716  1343 -10.8772  1.480e-27     1
VILL 1994-11-24 1994-12-21       NA  +0.0120       NA  +0.0199    NA   793       NA         NA    NA
VTSP 2008-04-17 2008-04-23  +0.2303  +0.0390  +0.0325  +0.0100   126  2277  +5.6241  1.865e-08     1
WILL 2008-12-03 2009-01-24  +0.1509  +0.2086  +0.0096  +0.0069  1563  2836  -4.9142  8.913e-07     1
WIND 2015-08-24 2015-08-24  +0.1511  +0.0671  +0.0115  +0.0227  2287   686  +3.2975  9.756e-04     1
WTZL 2016-06-18 2016-07-26       NA  +0.7261       NA  +0.0155    NA   667       NA         NA    NA
YAKT 2015-11-01 2016-02-13  -0.3164  -0.7012  +0.0057  +0.0132  1761   339 +26.8245 1.675e-158     1
YAKT 2017-01-29 2017-04-24  -0.7012  -0.6293  +0.0132  +0.0055   339  1725  -5.0328  4.834e-07     1
YAKZ 1999-10-21 2000-03-28  +0.3165  +0.4462  +0.0087  +0.0105   576   403  -9.5032  2.035e-21     1
YELL 2009-11-20 2010-01-24  -0.0249  +0.0383  +0.0045  +0.0041  4561  5357 -10.3201  5.719e-25     1
YSSK 2016-01-16 2016-03-08  +0.2071  +0.2242  +0.0041  +0.0060  4357  2040  -2.3458  1.898e-02     1
ZIMJ 2015-11-17 2016-03-08  -0.0289  +0.2610  +0.0079  +0.0155  4601  1134 -16.6375  3.727e-62     1
ZWE2 2005-09-20 2005-10-13  +1.0568  +0.5421  +0.0450  +0.0109   160  1301 +11.1294  9.021e-29     1
